weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
309,FALSE,338.92,27.03,10.47,121.85,764.83,15.95
335,FALSE,537.02,11.05,59.78,172.07,529.36,47.12
445,FALSE,638.15,59.83,25.2,6.93,1151.82,4.43
220,FALSE,400.67,31.29,3.62,122.22,897.52,22.48
246,FALSE,590.71,44.01,38.12,15.23,761.7,12.26
16,FALSE,52.81,5.71,0.42,0.24,102.73,0.22
286,FALSE,553.23,28.08,67.39,9.7,411.29,13.09
256,FALSE,326.2,14.47,41.06,3.5,762.57,9.23
353,FALSE,1175.99,98.73,47.6,243.82,1150.12,26.98
126,FALSE,66.72,3.85,6.81,10.01,236.65,1.4
1638,TRUE,3581.3,254.66,2.31,968.48,1043.69,320.74
823,TRUE,361.97,11.29,57.41,37.85,1553.39,18.62
86,FALSE,116.43,9.59,5.92,6.94,150.35,2.45
37,FALSE,63.71,2.88,8.18,0.01,264.73,1.49
293,FALSE,387.31,22.39,40.97,26.74,460.14,7.57
244,FALSE,134.07,8.37,11.81,6.92,105.8,3.46
10,FALSE,17.44,1.72,0.32,0.8,206.76,0.26
169,FALSE,186.44,14.14,7.19,17.47,299.4,8.55
137,FALSE,128.58,4.29,18.98,17.58,509.57,4.14
336,FALSE,703.48,24.17,92.23,40.53,625.31,30.68
321,TRUE,645.63,49.68,14.96,101.56,303.25,35.92
1058,TRUE,1601.32,101.53,29.11,453.69,1476.88,129.07
289,FALSE,464.09,43.08,11.02,29.77,2266.65,12.57
215,TRUE,237.84,18.07,18.14,2.4,279.82,3.92
235,FALSE,341.58,15.44,4.83,117.91,313.52,38.76
95,FALSE,317.37,31.36,8.58,49.2,36.48,2.11
16,FALSE,8.25,0.49,0.81,0.27,200.14,0.33
175,FALSE,771.32,35.31,87.98,18.2,605.81,24.62
650,FALSE,1039.35,90.91,16.95,227.94,1170.78,40.19
385,FALSE,388.92,7.98,44.98,167.71,1132.25,25.57
89,FALSE,382.98,38.79,0.68,24.1,1042.97,8.28
29,FALSE,33.45,1.9,3.24,3.59,247.61,1.53
203,FALSE,350.35,30.39,18.82,10.88,243.19,5.93
330,FALSE,227.58,16.45,14.81,12.05,916.68,7.79
355,TRUE,615.83,13.35,95.03,22.81,362.75,29.11
492,TRUE,342.34,25.01,27.5,6.16,364.89,7.51
82,FALSE,142.92,5.73,15.5,28.53,307.71,7.14
46,FALSE,94.9,4.36,4.79,21.28,291.36,9.04
59,FALSE,276.85,29.17,1.22,20.21,675.3,2.54
270,FALSE,240.4,15.02,13.1,213.0,753.23,14.3
147,FALSE,431.33,32.25,14.45,68.48,1154.71,21.7
293,TRUE,618.18,26.66,77.75,4.43,359.64,20.78
217,FALSE,322.32,15.74,0.76,126.94,318.35,40.88
511,TRUE,1302.33,112.76,11.87,254.14,631.01,58.48
24,FALSE,46.54,3.13,0.91,50.86,216.94,2.56
410,TRUE,768.22,22.75,122.28,4.35,564.19,22.48
355,TRUE,1453.39,46.02,216.65,5.1,246.4,42.39
93,FALSE,292.57,30.49,3.99,109.09,142.47,2.47
122,FALSE,168.08,14.29,8.62,0.08,201.74,1.11
313,FALSE,254.93,17.38,21.27,8.69,356.49,7.42
155,FALSE,181.27,15.53,7.58,82.44,342.6,4.93
295,TRUE,542.89,49.53,22.3,104.3,119.33,9.2
601,FALSE,714.16,36.44,88.06,14.16,601.63,12.49
138,FALSE,202.58,16.89,2.84,215.02,448.66,9.91
387,TRUE,576.44,35.8,15.61,27.71,1147.62,44.24
113,FALSE,383.96,30.22,12.16,0.0,867.45,16.41
230,FALSE,707.04,30.63,90.05,5.67,285.55,17.56
